Qual é a tese central da Gestão Horizontal apresentada no material?,"É uma tecnologia de governança baseada em papéis, decisões e fluxos."
"Segundo o material, o que a Gestão Horizontal NÃO é?",Não é 'clima legal' nem apenas um organograma moderno.
Qual é o objetivo principal da Gestão Horizontal em relação à estrutura da empresa?,Libertar a organização da dependência de chefes e da confusão decisória.
"De acordo com o diagnóstico horizontal, qual é o real problema estrutural das empresas?",Uma arquitetura ruim de poder e responsabilidade.
"No modelo tradicional, onde a decisão costuma estar concentrada?",A decisão costuma estar concentrada 'no chefe'.
O que caracteriza o 'conflito de fronteira' mencionado no diagnóstico?,A dúvida crônica sobre de quem é a responsabilidade por determinada tarefa ou área.
Qual é a consequência de uma arquitetura organizacional ruim para o resultado?,Gera muito esforço individual e pouco resultado sistêmico.
Qual a consequência direta da ausência de um mapa de papéis?,Ambiguidade crônica de responsabilidade.
O que ocorre quando há ausência de uma arquitetura de decisões?,As decisões ficam travadas ou tornam-se invisíveis.
Qual o impacto de focar na hierarquia em vez do fluxo end-to-end?,Criação de gargalos e a necessidade de 'heróis bombeiros'.
Qual é a unidade básica da organização na Gestão Horizontal?,"O papel, com propósito, entregas e autoridade definidos."
Princípio da Tecnologia de Gestão: Papéis acima de _____.,Cargos.
O que define a Governança Distribuída de decisões?,"Alocação de decisões onde está o conhecimento, com clareza de quem decide o quê."
O que deve compor uma 'Arquitetura Explícita de Decisões'?,"Um catálogo de decisões, níveis (estratégico/tático/operacional) e regras de escalonamento."
Como a responsabilidade é tratada na arquitetura horizontal?,Clareza de dono e fronteira de autoridade com menos camadas de controle.
Princípio da Tecnologia de Gestão: _____ acima de esforço individual.,Fluxo.
O que deve ser otimizado no princípio de 'Fluxo acima de esforço'?,"A otimização do fluxo end-to-end, não a produtividade isolada de áreas."
Como a meritocracia é estruturada na Gestão Horizontal?,"Ligada à entrega por papel e colaboração, não à proximidade política."
Qual é o meio de coordenação na comunicação eficaz e transparente?,"Informação clara, cadências enxutas e critérios explícitos."
Como o erro é visto em uma cultura de confiança e segurança?,Como um dado de aprendizado para reduzir a autoproteção.
Qual é o papel do líder facilitador ou servidor?,"Guardião de contexto, papéis e fluxo, em vez de dono de todas as decisões."
Qual é o objetivo principal dos primeiros 30 dias do plano de ação?,Clarificar a tese horizontal internamente.
Quantas decisões críticas devem ser listadas nos primeiros 30 dias?,Entre 10 e 20 decisões.
Qual documento de referência deve ser consolidado em 1 página no primeiro mês?,Os 5 a 9 princípios como 'tecnologia de gestão' da casa.
O que deve ser feito no período de 30 a 60 dias do plano?,Executar um piloto horizontal com um time ou processo escolhido.
Qual ritual deve ser definido durante a fase de piloto (30-60 dias)?,Ritual semanal de alinhamento de fluxo de 15 a 30 minutos.
O que caracteriza a fase de 60 a 90 dias do plano?,A instalação da governança mínima.
Quem deve participar do Fórum mensal de Arquitetura Horizontal?,A diretoria e líderes-chave.
Como os aprendizados do piloto são usados na fase final do plano de 90 dias?,"Para ajustar papéis, decisões e fluxos em outros times."
O que o indicador 'Lead time de decisão' mede?,O tempo gasto para decidir temas críticos antes e depois de explicitar donos.
Qual KPI mede a eficácia da definição de autoridade?,A porcentagem de decisões com dono formalmente definido.
O que mede o 'Tempo de ciclo de processo-chave'?,O intervalo entre o pedido e a entrega (fluxo end-to-end).
Como é medido o 'Índice de clareza de papel'?,Através de uma pesquisa rápida perguntando: 'sei o que é meu? sim/não'.
Qual KRI (indicador de risco) aponta falta de clareza de responsabilidade?,Conflitos entre áreas.
O que indica o excesso de decisões escaladas sem justificativa técnica?,Falha na arquitetura de decisões ou falta de autonomia nos papéis.
Por que a rotatividade em times com decisões concentradas é um KRI?,Indica risco de sobrecarga e dependência excessiva de indivíduos específicos.
Qual é a frequência sugerida para a reunião de time para rever fluxo e impedimentos?,"Semanal, com duração de 30 a 60 minutos."
Qual é a finalidade do Fórum mensal de Arquitetura Horizontal?,"Ajustar papéis, fronteiras e decisões da organização."
Com que frequência deve ocorrer a revisão de mérito por papel?,Trimestralmente.
Qual é o critério de sucesso para a formalização dos princípios da empresa?,Documento aprovado em board e usado como referência em discussões de estrutura.
Quem são os responsáveis por mapear decisões críticas e seus donos atuais?,"A Diretoria auxiliada por uma pessoa de apoio (PMO, estratégia ou RH estratégico)."
Qual o critério de sucesso para o mapeamento de decisões?,Lista de 10-20 decisões com responsável claro e nível definido.
Quem deve ser o responsável por escolher e declarar o time piloto horizontal?,O CEO ou a Diretoria.
Qual o tempo mínimo de funcionamento do ritual semanal para o sucesso do piloto?,Pelo menos 4 semanas.
"No contexto de papéis, o que significa ter autoridade definida?",Saber exatamente quais decisões o papel pode tomar sem validação superior.
O que é 'coordenação via informação clara'?,Uso de dados e transparência para alinhar ações sem necessidade de microgestão.
O que diferencia um 'cargo' de um 'papel' na Gestão Horizontal?,Cargos são estáticos; papéis são unidades de trabalho com propósito e autoridade específicos.
Qual o risco de decisões serem 'invisíveis' em uma empresa?,"Falta de 'dono', gerando inércia e atrasos no fluxo organizacional."
Por que a Gestão Horizontal foca no fluxo end-to-end?,Para garantir que o resultado sistêmico seja priorizado sobre a eficiência de áreas isoladas.
Qual o papel do Fórum mensal na manutenção da agilidade organizacional?,Garantir que a arquitetura de papéis e decisões evolua conforme a necessidade do negócio.
